model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 CL Class,2015.0,15770,Semi-Auto,60111.0,Diesel,30.0,62.8,2.1
 A Class,2019.0,21498,Semi-Auto,5685.0,Diesel,145.0,65.7,1.5
 C Class,2016.0,19690,Semi-Auto,38087.0,Diesel,20.0,67.3,2.1
 C Class,2015.0,13998,Manual,24010.0,Diesel,20.0,72.4,1.6
 S Class,2019.0,60998,Semi-Auto,100.0,Petrol,145.0,40.9,3.0
 B Class,2017.0,12499,Manual,40219.0,Diesel,145.0,68.9,1.5
 CL Class,2019.0,26499,Semi-Auto,11329.0,Diesel,145.0,51.4,2.2
 C Class,2016.0,21440,Semi-Auto,26600.0,Diesel,20.0,67.3,2.1
 V Class,2017.0,30998,Semi-Auto,32577.0,Diesel,145.0,45.6,2.2
 GLA Class,2016.0,15998,Semi-Auto,52029.0,Diesel,125.0,56.5,2.1
 E Class,2019.0,25499,Semi-Auto,7488.0,Diesel,145.0,67.3,2.0
 CL Class,2018.0,21495,Semi-Auto,17107.0,Diesel,145.0,67.3,2.1
 GLE Class,2020.0,54995,Automatic,6700.0,Diesel,150.0,32.8,3.0
 CLS Class,2016.0,21998,Semi-Auto,29306.0,Diesel,160.0,51.4,3.0
 A Class,2019.0,20750,Semi-Auto,3915.0,Petrol,145.0,47.9,1.3
 CL Class,2017.0,18295,Automatic,49434.0,Diesel,125.0,58.9,2.1
 GLE Class,2019.0,53990,Automatic,5214.0,Diesel,145.0,32.5,3.0
 GLC Class,2016.0,25998,Semi-Auto,40220.0,Diesel,145.0,56.5,2.1
 C Class,2019.0,28998,Manual,22.0,Petrol,145.0,48.7,1.6
 GLC Class,2017.0,24498,Semi-Auto,36058.0,Diesel,125.0,56.5,2.1
 CL Class,2013.0,10995,Manual,69965.0,Petrol,125.0,50.4,1.6
 GLA Class,2016.0,19640,Automatic,14502.0,Diesel,125.0,56.5,2.1
 E Class,2017.0,19998,Semi-Auto,46230.0,Diesel,145.0,67.3,2.0
 GLA Class,2017.0,14950,Manual,54952.0,Diesel,30.0,64.2,2.1
 C Class,2016.0,17890,Automatic,44184.0,Petrol,125.0,50.4,2.0
 A Class,2017.0,17600,Manual,12343.0,Diesel,145.0,68.9,1.5
 E Class,2014.0,13970,Automatic,51176.0,Diesel,200.0,47.1,3.0
 C Class,2013.0,9490,Semi-Auto,41921.0,Petrol,145.0,47.9,1.6
 C Class,2018.0,27495,Semi-Auto,16347.0,Diesel,145.0,57.7,2.0
 GLE Class,2019.0,62495,Semi-Auto,11545.0,Petrol,145.0,23.9,5.5
